title,genre,Ratings
The First Time,Comedy,6.8
La frode,Drama,6.6
Cogan - Killing Them Softly,Crime,6.2
I mercenari 2,Action,6.6
Il luogo delle ombre,Comedy,6.8
The Curse of Downers Grove,Drama,4.5
La canzone della vita - Danny Collins,Biography,7.0
Ralph Spaccatutto,Animation,7.7
Mara,Crime,5.1
50 a 1,Drama,6.5
L'ultima ricchezza,Drama,5.9
Aftershock,Action,4.8
Il Clown,Drama,5.7
No Escape - Colpo di stato,Action,6.8
The Vault - Nessuno è al sicuro,Crime,4.8
CBGB,Crime,6.6
Pirati dei Caraibi - La vendetta di Salazar,Action,6.5
Maze Runner - Il labirinto,Action,6.8
Zero Dark Thirty,Drama,7.4
Candidato a sorpresa,Comedy,6.1
Vizio di forma,Comedy,6.7
Giovani si diventa,Comedy,6.3
Savannah,Drama,5.8
Ti lascio la mia canzone,Comedy,7.5
This Is Martin Bonner,Drama,6.5
Babbo bastardo 2,Comedy,5.6
Lei,Drama,8.0
American Hustle - L'apparenza inganna,Crime,7.2
Quel momento imbarazzante,Comedy,6.1
Gold - La grande truffa,Crime,6.7
Step Up 4 Revolution 3D,Drama,6.4
As I Lay Dying,Drama,5.4
Unbroken,Biography,7.2
Admission - Matricole dentro o fuori,Comedy,5.7
Freelancers,Action,4.6
After Earth,Action,4.8
Come un tuono,Crime,7.3
A Resurrection,Horror,3.9
Girl in Progress,Comedy,5.6
Nebraska,Adventure,7.7
RED 2,Action,6.6
Annie - La felicità è contagiosa,Comedy,5.3
Black Panther,Action,7.3
3 Geezers!,Comedy,3.3
About Last Night,Comedy,6.1
The Baytown Outlaws - I fuorilegge,Action,6.4
Queen of the Desert,Adventure,5.7
Il quinto potere,Biography,6.2
Storia d'inverno,Drama,6.2
La verità su Emanuel,Drama,6.0
Ruby Sparks,Comedy,7.2
The Face of Love,Drama,6.2
Divergent,Action,6.6
The Words,Drama,7.0
Demonic,Horror,5.3
Captain America: The Winter Soldier,Action,7.7
Price Check,Comedy,5.4
Le sorelle perfette,Comedy,6.0
Django Unchained,Drama,8.4
Percy Jackson e gli dei dell'Olimpo - Il mare dei mostri,Adventure,5.8
End of Watch - Tolleranza zero,Action,7.6
Tim and Eric's Billion Dollar Movie,Comedy,5.4
Blade Runner 2049,Action,8.0
To Rome with Love,Comedy,6.3
Nonno scatenato,Comedy,5.9
Turbo,Animation,6.4
Safety Not Guaranteed,Comedy,7.0
Detention of the Dead,Action,4.5
The Sessions - Gli incontri,Biography,7.2
Filly Brown,Drama,5.7
The Amazing Spider-Man 2 - Il potere di Electro,Action,6.6
The Judge,Crime,7.4
Liberal Arts,Comedy,6.7
Hello Herman,Drama,5.8
Lost and Found in Armenia,Comedy,6.1
Sparkle - La luce del successo,Drama,5.7
X-Men - Giorni di un futuro passato,Action,7.9
The Darkness,Horror,4.5
17 anni (e come uscirne vivi),Comedy,7.3
Zeroville,Comedy,4.6
Best Man Down,Comedy,6.4
Il caso Spotlight,Biography,8.1
Dark crimes,Crime,4.7
Parker,Action,6.2
Fast & Furious 6,Action,7.0
Hardflip,Action,5.6
Flight,Drama,7.3
The Call,Crime,6.7
I pinguini di Madagascar,Animation,6.7
Vehicle 19,Action,4.9
Nurse - L'infermiera,Horror,4.5
Magic Mike,Comedy,6.1
California Solo,Drama,6.3
The Wedding Party,Comedy,5.3
Phantom,Drama,5.9
The Investigator,Drama,5.3
Sinister,Horror,6.8
Bastardi in divisa,Action,6.4
Fire with Fire,Action,5.6
Officer Down,Crime,5.5
Il paradiso per davvero,Biography,5.8
Big Wedding,Comedy,5.6
Volano coltelli,Drama,5.2
Quel che sapeva Maisie,Drama,7.4
Amore inaspettato,Drama,5.8
Mud,Drama,7.4
Miss Peregrine - La casa dei ragazzi speciali,Adventure,6.7
Botte di fortuna,Comedy,6.4
Amore per finta,Comedy,6.6
Lo sguardo di Satana - Carrie,Drama,5.9
About Cherry,Drama,4.8
In Our Nature,Drama,5.7
Red Sky,Action,4.1
Le Mans '66 - La grande sfida,Action,8.1
C'era una volta a New York,Drama,6.6
Una notte da leoni 3,Comedy,5.8
Hunger Games: La ragazza di fuoco,Action,7.5
Hunger Games: Il canto della rivolta - Parte I,Action,6.6
Hunger Games: Il canto della rivolta - Parte 2,Action,6.6
Crooked Arrows,Drama,6.0
Sex Tape - Finiti in rete,Comedy,5.1
Noah,Action,5.7
Come ti ammazzo il bodyguard,Action,6.9
American Assassin,Action,6.2
"Now, Forager",Drama,6.4
Tomorrowland - Il mondo di domani,Action,6.4
2 gran figli di...,Comedy,5.5
Un giorno come tanti,Drama,6.9
The Comedian,Comedy,5.7
Teneramente folle,Comedy,7.0
Compliance,Crime,6.4
The Best of Me - Il meglio di me,Drama,6.7
The Neon Demon,Horror,6.2
L'eccezione alla regola,Comedy,5.7
6 Bullets,Action,6.1
Toy Story 4,Animation,7.7
Il viaggio di Arlo,Animation,6.7
Pain & Gain - Muscoli e denaro,Action,6.4
Tutto può cambiare,Comedy,7.4
Thor: The Dark World,Action,6.9
Geostorm,Action,5.3
Voices,Comedy,7.1
Atlas Shrugged II: The Strike,Drama,5.4
Piovono polpette 2 - La rivincita degli avanzi,Animation,6.4
Alone Yet Not Alone,Action,4.6
Sempre amici,Comedy,7.0
7 Below,Horror,3.1
Brake - Fino all'ultimo respiro,Thriller,6.1
Robot & Frank,Comedy,7.1
Chernobyl Diaries - La mutazione,Horror,5.0
Battlefield America,Drama,2.7
Fat Kid Rules the World,Comedy,6.5
It's a Disaster,Comedy,6.4
Le squillo della porta accanto,Comedy,6.0
Hell Fest,Horror,5.5
Machete Kills,Action,5.6
King's Faith,Drama,6.5
Cattivi vicini,Comedy,6.3
Trafficanti,Biography,7.1
Il cacciatore di donne,Crime,6.4
Ossessione omicida,Action,5.6
Repentance,Drama,4.9
Guardiani della Galassia,Action,8.0
Man of Tai Chi,Action,6.1
I Puffi 2,Animation,5.3
All Is Lost - Tutto è perduto,Action,6.9
Diario di una schiappa: Vita da cani,Comedy,6.3
Io sono tu,Comedy,5.7
Incroci pericolosi,Comedy,5.7
12 anni schiavo,Biography,8.1
L'ultima tempesta,Action,6.8
USS Indianapolis,Action,5.3
Dimmi quando,Comedy,6.4
The great wall,Action,5.9
Flatliners: Linea mortale,Drama,5.2
The Gambler,Crime,6.1
The Pact,Horror,5.8
sxtape,Horror,3.3
A proposito di Davis,Comedy,7.5
Old Fashioned,Drama,5.2
No Tell Motel,Horror,3.5
Unfreedom,Crime,5.1
Home Run,Drama,5.9
Water & Power,Crime,4.8
Effetti collaterali,Crime,7.1
13 peccati,Horror,6.3
Smashed,Drama,6.8
The Mule,Crime,4.2
Sleepless - Il giustiziere,Action,5.6
Sleepwalk with Me,Comedy,6.8
Hansel e Gretel e la strega della foresta nera,Comedy,4.3
The Best Man Holiday,Comedy,6.7
Di nuovo in gioco,Drama,6.8
Upstream Color,Drama,6.7
A Green Story,Biography,5.5
Capitan Mutanda,Animation,6.2
Promised Land,Drama,6.6
Mr. Right,Action,6.4
Hours,Drama,6.4
Assassin's Creed,Action,5.7
Scemo & + scemo 2,Comedy,5.6
Inside Out,Animation,8.1
McFarland,Biography,7.4
Hit and Run,Action,6.1
Dead Man Down - Il sapore della vendetta,Action,6.5
Spring Breakers - Una vacanza da sballo,Crime,5.3
Tammy,Comedy,4.9
Apes Revolution - Il pianeta delle scimmie,Action,7.6
Sky Force 3D,Animation,3.1
Into the Storm,Action,5.8
Paranormal Activity 4,Horror,4.6
Transformers 4 - L'era dell'estinzione,Action,5.6
Vendetta e redenzione,Action,4.6
Woody Woodpecker,Comedy,4.1
Code Red,Action,4.2
Il mistero della casa del tempo,Comedy,6.1
Pixels,Action,5.5
Underdogs,Drama,5.9
Re della terra selvaggia,Adventure,7.3
San Andreas,Action,6.1
Ricomincio da me,Comedy,5.8
Bling Ring,Biography,5.6
"Non succede, ma se succede...",Comedy,6.8
Jane Got a Gun,Action,5.9
Saving Mr. Banks,Biography,7.5
Self/less,Action,6.5
The Accountant,Action,7.3
Edison - L'uomo che illuminò il mondo,Biography,6.5
Fear Clinic,Horror,4.9
Getaway - Via di fuga,Action,4.4
Bad Words,Comedy,6.6
Good Kids,Comedy,6.1
Come ammazzare il capo 2,Comedy,6.3
St. Vincent,Comedy,7.2
Empire State,Crime,5.2
3 Days to Kill,Action,6.2
Metallica Through the Never,Music,7.2
Monuments Men,Comedy,6.1
American Sniper,Action,7.3
Into the Woods,Adventure,5.9
Song One,Drama,5.8
Earth to Echo,Adventure,5.8
La notte del giudizio,Horror,5.7
Un weekend da bamboccioni 2,Comedy,5.4
Prince Avalanche,Comedy,6.4
Dystopia: 2013,Sci-Fi,2.7
Run All Night - Una notte per sopravvivere,Action,6.6
Tutte contro lui,Comedy,6.0
Addicted - Desiderio irresistibile,Drama,5.1
Before Midnight,Drama,7.9
Jimmy P.,Biography,6.1
Madea protezione testimoni,Comedy,4.9
Draft Day,Drama,6.8
Sweetwater,Thriller,6.2
Home - A casa,Animation,6.6
