imdb_title_id,title,year,genre,country,budget,worlwide_gross_income,production_company
tt1208664,Engelen,2009,Drama,"Norway, Sweden, Finland",2500000,1356190,Speranza Films A/S
tt1208713,La banda Olsen alla ricerca dell'oro nero,2009,Family,Norway,18800000,1880719,Nordisk Film Production AS
tt1208728,Skavabölen pojat,2009,Drama,"Finland, Germany",1750000,465310,Juonifilmi
tt1208729,Spion van Oranje,2009,"Action, Comedy",Netherlands,3400000,2125377,Fu Works
tt1208731,Toinen jalka haudasta,2009,"Comedy, Drama",Finland,1110019,116511,Dionysos Films
tt1209367,Allt flyter,2008,"Comedy, Drama",Sweden,24500000,2502311,Fladen Film
tt1209377,Beautiful Kate,2009,"Drama, Mystery",Australia,4300000,1065656,Beautiful Kate Productions
tt1210039,Blood Done Sign My Name,2010,Drama,USA,10000000,109383,Real Folk Productions
tt1210042,Brooklyn's Finest,2009,"Action, Crime, Drama",USA,17000000,45719985,Millennium Films
tt1210071,The Janky Promoters,2009,"Comedy, Crime, Music",USA,10000000,9069,Cube Vision
tt1210106,St. Trinian's 2,2009,"Adventure, Comedy",UK,9000000,11198830,Aegis Film Fund
tt1210166,L'arte di vincere,2011,"Biography, Drama, Sport",USA,50000000,110206216,Columbia Pictures
tt1210351,Lost Islands,2008,"Comedy, Drama",Israel,1300000,187394,Inosan productions
tt1210355,Pinprick,2009,"Drama, Thriller","Switzerland, Hungary",130000000,1198,Kontraproduktion AG
tt1210814,Joyong-han saesang,2006,"Drama, Mystery, Thriller",South Korea,3500000000,970577,Prime Entertainment
tt1210819,The Lone Ranger,2013,"Action, Adventure, Comedy",USA,215000000,260502115,Walt Disney Pictures
tt1211837,Doctor Strange,2016,"Action, Adventure, Fantasy",USA,165000000,677718395,Marvel Studios
tt1211890,Middle of Nowhere,2012,Drama,USA,200000,236806,Forward Movement
tt1211956,Escape Plan - Fuga dall'inferno,2013,"Action, Thriller",USA,50000000,137328301,Summit Entertainment
tt1212419,Hereafter,2010,"Drama, Fantasy, Romance",USA,50000000,106956330,Warner Bros.
tt1212428,Civiltà perduta,2016,"Biography, Drama, History",USA,30000000,19263938,Keep Your Head
tt1212436,"Piacere, sono un po' incinta",2010,"Comedy, Romance",USA,35000000,77477008,CBS Films
tt1212450,Lawless,2012,"Crime, Drama",USA,26000000,55404207,The Weinstein Company
